編號	案類	發生(現)日期	發生時段
1	住宅竊盜	780210	10~12
2	住宅竊盜	951016	19~21
3	住宅竊盜	970609	01~03
4	住宅竊盜	990407	04~06
5	住宅竊盜	991013	22~24
6	住宅竊盜	991024	13~15
7	住宅竊盜	991116	22~24
8	住宅竊盜	1000101	10~12
9	住宅竊盜	1000825	19~21
10	住宅竊盜	1001116	19~21
11	住宅竊盜	1010314	07~09
12	住宅竊盜	1010506	01~03
13	住宅竊盜	1010507	22~24
14	住宅竊盜	1010601	07~09
15	住宅竊盜	1010606	10~12
16	住宅竊盜	1010728	22~24
17	住宅竊盜	1010728	22~24
18	住宅竊盜	1020101	19~21
19	住宅竊盜	1020108	07~09
20	住宅竊盜	1020320	01~03
21	住宅竊盜	1020321	22~24
22	住宅竊盜	1020521	10~12
23	住宅竊盜	1020715	19~21
24	住宅竊盜	1021020	10~12
25	住宅竊盜	1021201	10~12
26	住宅竊盜	1030101	22~24
27	住宅竊盜	1030102	10~12
28	住宅竊盜	1030915	01~03
29	住宅竊盜	1031030	16~18
30	住宅竊盜	1031124	10~12
31	住宅竊盜	1040101	07~09
32	住宅竊盜	1040101	10~12
33	住宅竊盜	1040101	22~24
34	住宅竊盜	1040101	22~24
35	住宅竊盜	1040102	04~06
36	住宅竊盜	1040102	04~06
37	住宅竊盜	1040102	10~12
38	住宅竊盜	1040102	22~24
39	住宅竊盜	1040104	10~12
40	住宅竊盜	1040104	10~12
41	住宅竊盜	1040105	04~06
42	住宅竊盜	1040105	10~12
43	住宅竊盜	1040105	16~18
44	住宅竊盜	1040105	22~24
45	住宅竊盜	1040106	04~06
46	住宅竊盜	1040106	16~18
47	住宅竊盜	1040108	07~09
48	住宅竊盜	1040109	10~12
49	住宅竊盜	1040109	13~15
50	住宅竊盜	1040109	16~18
51	住宅竊盜	1040110	04~06
52	住宅竊盜	1040111	07~09
53	住宅竊盜	1040112	07~09
54	住宅竊盜	1040112	19~21
55	住宅竊盜	1040112	19~21
56	住宅竊盜	1040113	10~12
57	住宅竊盜	1040115	07~09
58	住宅竊盜	1040115	10~12
59	住宅竊盜	1040115	10~12
60	住宅竊盜	1040115	22~24
61	住宅竊盜	1040116	10~12
62	住宅竊盜	1040117	10~12
63	住宅竊盜	1040118	01~03
64	住宅竊盜	1040118	07~09
65	住宅竊盜	1040118	10~12
66	住宅竊盜	1040118	19~21
67	住宅竊盜	1040120	19~21
68	住宅竊盜	1040121	07~09
69	住宅竊盜	1040121	19~21
70	住宅竊盜	1040121	19~21
71	住宅竊盜	1040121	22~24
72	住宅竊盜	1040122	10~12
73	住宅竊盜	1040122	16~18
74	住宅竊盜	1040123	13~15
75	住宅竊盜	1040123	19~21
76	住宅竊盜	1040124	10~12
77	住宅竊盜	1040126	01~03
78	住宅竊盜	1040126	07~09
79	住宅竊盜	1040126	19~21
80	住宅竊盜	1040127	01~03
81	住宅竊盜	1040127	04~06
82	住宅竊盜	1040127	10~12
83	住宅竊盜	1040127	13~15
84	住宅竊盜	1040127	16~18
85	住宅竊盜	1040128	13~15
86	住宅竊盜	1040129	13~15
87	住宅竊盜	1040129	13~15
88	住宅竊盜	1040130	13~15
89	住宅竊盜	1040131	22~24
90	住宅竊盜	1040201	10~12
91	住宅竊盜	1040201	10~12
92	住宅竊盜	1040201	19~21
93	住宅竊盜	1040201	22~24
94	住宅竊盜	1040202	07~09
95	住宅竊盜	1040202	19~21
96	住宅竊盜	1040204	16~18
97	住宅竊盜	1040205	01~03
98	住宅竊盜	1040205	04~06
99	住宅竊盜	1040205	13~15
100	住宅竊盜	1040206	07~09
101	住宅竊盜	1040207	22~24
102	住宅竊盜	1040208	04~06
103	住宅竊盜	1040209	01~03
104	住宅竊盜	1040210	01~03
105	住宅竊盜	1040211	16~18
106	住宅竊盜	1040212	19~21
107	住宅竊盜	1040212	22~24
108	住宅竊盜	1040213	04~06
109	住宅竊盜	1040213	07~09
110	住宅竊盜	1040215	07~09
111	住宅竊盜	1040215	07~09
112	住宅竊盜	1040215	10~12
113	住宅竊盜	1040215	22~24
114	住宅竊盜	1040216	10~12
115	住宅竊盜	1040216	13~15
116	住宅竊盜	1040216	16~18
117	住宅竊盜	1040216	22~24
118	住宅竊盜	1040216	22~24
119	住宅竊盜	1040218	04~06
120	住宅竊盜	1040219	13~15
121	住宅竊盜	1040219	16~18
122	住宅竊盜	1040219	16~18
123	住宅竊盜	1040219	19~21
124	住宅竊盜	1040220	04~06
125	住宅竊盜	1040221	19~21
126	住宅竊盜	1040222	01~03
127	住宅竊盜	1040223	10~12
128	住宅竊盜	1040223	13~15
129	住宅竊盜	1040223	19~21
130	住宅竊盜	1040223	22~24
131	住宅竊盜	1040224	10~12
132	住宅竊盜	1040224	16~18
133	住宅竊盜	1040224	19~21
134	住宅竊盜	1040225	04~06
135	住宅竊盜	1040225	07~09
136	住宅竊盜	1040226	01~03
137	住宅竊盜	1040226	13~15
138	住宅竊盜	1040226	19~21
139	住宅竊盜	1040227	01~03
140	住宅竊盜	1040227	10~12
141	住宅竊盜	1040227	22~24
142	住宅竊盜	1040228	19~21
143	住宅竊盜	1040304	01~03
144	住宅竊盜	1040304	16~18
145	住宅竊盜	1040304	16~18
146	住宅竊盜	1040305	04~06
147	住宅竊盜	1040305	13~15
148	住宅竊盜	1040306	01~03
149	住宅竊盜	1040306	19~21
150	住宅竊盜	1040307	04~06
151	住宅竊盜	1040308	16~18
152	住宅竊盜	1040308	22~24
153	住宅竊盜	1040310	10~12
154	住宅竊盜	1040310	10~12
155	住宅竊盜	1040310	22~24
156	住宅竊盜	1040310	22~24
157	住宅竊盜	1040312	01~03
158	住宅竊盜	1040312	10~12
159	住宅竊盜	1040312	16~18
160	住宅竊盜	1040313	01~03
161	住宅竊盜	1040314	01~03
162	住宅竊盜	1040315	01~03
163	住宅竊盜	1040316	07~09
164	住宅竊盜	1040316	07~09
165	住宅竊盜	1040317	01~03
166	住宅竊盜	1040317	10~12
167	住宅竊盜	1040319	10~12
168	住宅竊盜	1040319	22~24
169	住宅竊盜	1040320	10~12
170	住宅竊盜	1040320	19~21
171	住宅竊盜	1040324	07~09
172	住宅竊盜	1040325	13~15
173	住宅竊盜	1040326	16~18
174	住宅竊盜	1040327	16~18
175	住宅竊盜	1040327	19~21
176	住宅竊盜	1040328	19~21
177	住宅竊盜	1040329	07~09
178	住宅竊盜	1040329	10~12
179	住宅竊盜	1040329	16~18
180	住宅竊盜	1040330	07~09
181	住宅竊盜	1040330	10~12
182	住宅竊盜	1040330	10~12
183	住宅竊盜	1040331	07~09
184	住宅竊盜	1040331	22~24
185	住宅竊盜	1040401	13~15
186	住宅竊盜	1040401	22~24
187	住宅竊盜	1040404	13~15
188	住宅竊盜	1040405	10~12
189	住宅竊盜	1040405	19~21
190	住宅竊盜	1040405	22~24
191	住宅竊盜	1040405	22~24
192	住宅竊盜	1040407	01~03
193	住宅竊盜	1040407	10~12
194	住宅竊盜	1040407	10~12
195	住宅竊盜	1040408	10~12
196	住宅竊盜	1040408	16~18
197	住宅竊盜	1040409	10~12
198	住宅竊盜	1040410	07~09
199	住宅竊盜	1040410	16~18
200	住宅竊盜	1040410	19~21
201	住宅竊盜	1040411	10~12
202	住宅竊盜	1040413	10~12
203	住宅竊盜	1040413	13~15
204	住宅竊盜	1040415	07~09
205	住宅竊盜	1040415	16~18
206	住宅竊盜	1040415	22~24
207	住宅竊盜	1040416	04~06
208	住宅竊盜	1040416	07~09
209	住宅竊盜	1040416	10~12
210	住宅竊盜	1040416	13~15
211	住宅竊盜	1040416	13~15
212	住宅竊盜	1040416	19~21
213	住宅竊盜	1040417	16~18
214	住宅竊盜	1040417	16~18
215	住宅竊盜	1040419	13~15
216	住宅竊盜	1040420	16~18
217	住宅竊盜	1040420	22~24
218	住宅竊盜	1040421	19~21
219	住宅竊盜	1040422	19~21
220	住宅竊盜	1040423	04~06
221	住宅竊盜	1040423	13~15
222	住宅竊盜	1040423	19~21
223	住宅竊盜	1040423	19~21
224	住宅竊盜	1040424	10~12
225	住宅竊盜	1040425	04~06
226	住宅竊盜	1040425	22~24
227	住宅竊盜	1040426	04~06
228	住宅竊盜	1040427	07~09
229	住宅竊盜	1040427	07~09
230	住宅竊盜	1040427	10~12
231	住宅竊盜	1040427	13~15
232	住宅竊盜	1040427	16~18
233	住宅竊盜	1040427	22~24
234	住宅竊盜	1040428	19~21
235	住宅竊盜	1040429	13~15
236	住宅竊盜	1040429	13~15
237	住宅竊盜	1040430	07~09
238	住宅竊盜	1040430	19~21
239	住宅竊盜	1040501	16~18
240	住宅竊盜	1040501	22~24
241	住宅竊盜	1040503	19~21
242	住宅竊盜	1040504	10~12
243	住宅竊盜	1040504	19~21
244	住宅竊盜	1040505	16~18
245	住宅竊盜	1040506	19~21
246	住宅竊盜	1040507	19~21
247	住宅竊盜	1040508	04~06
248	住宅竊盜	1040508	07~09
249	住宅竊盜	1040508	13~15
250	住宅竊盜	1040509	10~12
251	住宅竊盜	1040510	04~06
252	住宅竊盜	1040510	10~12
253	住宅竊盜	1040510	13~15
254	住宅竊盜	1040511	22~24
255	住宅竊盜	1040512	10~12
256	住宅竊盜	1040512	13~15
257	住宅竊盜	1040512	19~21
258	住宅竊盜	1040514	10~12
259	住宅竊盜	1040514	10~12
260	住宅竊盜	1040515	10~12
261	住宅竊盜	1040515	10~12
262	住宅竊盜	1040515	19~21
263	住宅竊盜	1040518	10~12
264	住宅竊盜	1040521	16~18
