對外公告名稱（若無就沿用現有基地名稱）,位置,基地（平方公尺）,總樓地板面積（平方公尺）,X(座標),Y(座標)
同安市場新創基地,臺北市中正區同安街71號3樓,"1,284","2,589.54",302612,2768472
臺北創新實驗室,臺北市內湖區洲子街12號2、3樓,--,"2,200",308008,2774565
台北創新中心,臺北市中山區玉門街1號,"2,008","2,233",302509,2773671
新富町文化市場,臺北市萬華區三水街70號,"1,310",661,300769,2769847
Tesla 新能源創新示範園區,台北市內湖區民權東路六段11巷6號,"16,475","9,889",308050,2773368
Audi 創速中心,台北市內湖區新湖三路288號,"22,335","1,225",308775,2773313
台北自造實驗室(Fablab Taipei),臺北市中山區玉門街1號,254,254,302509,2773671
台北數位產業園區(digiBlock Taipei),臺北市大同區承德路3段287號、287-1號、287-2號,"9,686","5,919",302497,2774082
台北時尚產業園區 (fashionBlock Taipei),臺北市中山區玉門街1號,893,893,302509,2773671
南港瓶蓋工廠自造者工場,臺北市南港區南港路2段13及13-1號,"8,021","3,793",310962,2771868
AR1 N24金融科技創新基地,臺北市南港區忠孝東路六段39號,"17,623","1,272",308879,2771074
AR1 智慧銀髮公宅,,,"4,000",,
明倫智慧公宅 新創基地,臺北市大同區承德路三段285號,"47,636","1,265",302418,2773999
內科之心,西湖段四小段2、3、6、6-1、7地號,"17,542","89,563",308067,2774529
萬寶設計創新基地,台北市士林區中山北路五段570號,"3,340","12,026",303281,2776469
忠孝營區基地臺北市南港生技產業聚落,台北市南港區忠孝東路七段與興中路交叉口東南側,"15,096.73","60,971.82",311371,2771672
福星智慧公宅 新創基地,台北市萬華區開封街2段23號,"3,951",929,301308,2771003
南港機場生技創研匯流中心,台北市南港區位於忠孝東路七段以南，向陽路、東新街以東,"5,336","61,000",310047,2771376
港湖創意匯流基地,台北市內湖區舊宗路、新湖一路口,"22,436","48,462",308528,2772567
北投士林科技園區,雙溪以北及承德路兩側,"838,000","251,400",301744,2777222
台鐵商三特南港國際會議中心,地號：南港段二小段671-6地號等52筆土地,"26,048",--,311534,2771855
